,conditioning,velmag,nflies_close,dcenter,Grooming,Chase,anglesub,Chain,Aggregation
1447,Single,2.6611711364232673,-0.2756185781306562,0.11350524983554608,-1.5067573360138073,0.4953761963463705,-0.15336442291395,0.060047331022751595,-0.9151170051004065
460,Grouped,-1.9260642363528568,0.9716637898142827,-2.404093624900998,2.63748919401727,-0.8301572951973244,-0.5589869556201705,-0.2672576362137233,3.163653444097673
1418,Single,2.274243968891743,-0.2435908574576556,-0.129164707181824,-1.5169682869206396,1.5551323690701941,0.34608506216901896,0.092005971952953,-0.8879284376412722
540,Grouped,-0.4109246474096047,-0.49271787459131094,0.2685035635296913,0.13520361274873258,-0.4393086472467184,-0.6262431796719585,-0.6619812233262485,-0.15723568717704153
681,Grouped,-0.001974539793360652,-0.6729244801501549,0.1702572781298696,0.3608456063172501,-0.5118946864743771,-0.7747785766641315,-0.7016336111470547,-0.4809495684873568
1512,Grouped_Starved,-0.6733189546339141,-0.7738947725778794,0.5366720138236053,1.1425985458880052,-0.5688676524663397,-0.82431908678524,-0.8105391014899348,-0.601836135890392
691,Grouped,-0.43183899359307226,-0.6031932402038748,0.12662517290266595,1.0391730900884353,-0.632499182421875,-0.5947920346639394,-0.7702855064785983,-0.3477680700742555
117,Males_Grouped_and_Female,-0.5551819740242692,-0.7318996087656894,1.115864720523152,0.8789342169793062,-0.7419325835333184,-1.042361036425203,-0.8596484642909933,-0.4155077329325124
1862,Rejected,0.5097450817936184,0.20466921748320013,1.0764814637839846,-1.1046060383931129,-0.23610129291201173,1.1940594995051417,0.5021686965496154,-0.372779281022706
1178,Single,1.1403100420971917,-0.1695014150147312,-0.2197840781468602,-0.1474995770638171,-0.02500986950115793,-0.10604448168138561,-0.02280840472221543,-0.4597085001599082
52,Males_Grouped_and_Female,-0.11877720391419377,-0.48686107947192003,-0.1651351186357909,0.2656332060430326,-0.7564572772030573,-0.4451713737562319,-0.5631600192184039,-0.24817300207791393
534,Grouped,-0.5103182974494375,-0.5214818534080773,0.2246407483381766,0.5325499164687998,-0.6190901214418859,-0.7297578900447667,-0.32165808380090755,0.2808002750716113
1127,Grouped,-0.25562115652158857,0.16891807652687713,-0.38120219777222786,-0.2416004971855573,0.14361308316617583,0.22534450031630146,-0.10566414046718402,0.07747811784126891
1863,Rejected,0.06519099851857274,0.40069232222303325,-0.7096024147721803,-0.09436980954037685,0.330514285281203,1.7788675519551194,0.6202345990812733,0.25232592765483164
721,Grouped,0.13090993806725476,-0.8040759692351638,0.7831325574754766,0.7626765567094493,-0.4236747311053762,-0.8301978658357765,-0.757857146116853,-0.6496036510072987
983,Grouped,-0.779682834812145,-0.9330080547460046,1.6377062940384461,0.46372070333100285,-0.6626642016791778,-1.062882378074756,-0.8377611125784097,-0.5589323558090283
640,Grouped,-0.31972945588710333,-0.12287878365530254,-0.7996871039204304,0.26814618926115247,-0.49626077033303495,-0.4669408393200907,-0.28794675910611184,0.20216318892339047
1648,Mated,-1.1683940797859755,3.6943972778707153,-2.274620730149477,1.7225689447883359,-0.472276715186296,2.2357888778562756,1.9818096518580655,2.5052906401140342
157,Males_Grouped_and_Female,-0.25391415886538427,-0.45501435531803125,0.46756858065851803,-0.24059942356723904,-0.17241536454809392,-0.6387160895292543,-0.6270634489765845,-0.6049974075196564
985,Grouped,-0.4253507055376874,0.09989631140563174,-0.8420858562184759,0.6851934586517592,-0.3745395660897308,-0.18159781067232475,-0.2838039723188634,0.8234644375012603
1966,Single,0.009670500306453198,0.21063790283931177,0.3214779307127417,-0.9246177833418212,0.12626413150007332,1.1550040290122587,0.31930440773546304,-0.455768523360943
1942,Single,1.0962461608591243,0.38882700049089514,1.649561275819356,-1.1650950116703829,0.8381886185457574,0.7874176116394743,0.7060793052909342,-0.8000690947590818
132,Males_Grouped_and_Female,-1.2143118606610246,0.7110934723287119,-1.3962024472446202,1.293097115073488,-0.5420572248560981,-0.06967419946621849,0.9713897390438595,0.8777743297515578
1170,Grouped,-0.21766012145774796,-0.45612924432880025,0.06935312069578083,-0.1114609268044222,-0.22043382126792996,-0.2683217218668339,-0.27315109200879617,-0.5283171508575669
1931,Rejected,1.1983465531208375,-0.4516000184032723,1.0713705894272911,-1.0302652972883044,-0.2501302310674971,-0.5560022406305173,-0.5523553848110431,-0.4904906403098568
1148,Grouped,-0.19698246518837745,-0.19396017805873705,0.45727950228893843,0.36753872624889733,-0.39800718968548643,-0.7650440080817056,-0.4270449230362506,-0.32846126682636617
1578,Grouped_Starved,0.2607544822328842,-0.5897848134273708,0.27633903400743665,0.491711347086228,-0.6180163793644244,-0.9888483137096521,-0.7277050175132571,-0.2890264285094821
1755,Mated,-0.3811601797165419,1.8792171363631716,-1.5878823850487922,1.0460453360978668,1.5007881480819352,2.3387562565690896,2.045244721222233,1.2928824089494886
499,Grouped,0.20555196785112168,-0.26821976924100494,-0.11804694026757159,-0.03738147904901028,1.9939987293235804,0.5441906117320467,-0.10448048709939811,-0.6555511501389844
45,Males_Grouped_and_Female,-1.461696237448532,4.21820844591739,-2.558081624851389,1.56201732505548,-0.4136566960308101,2.7113688395547624,2.4318391322873687,2.7083391738524534
1378,Single,2.372848534151164,0.016928125618718846,-0.03873960560555123,-1.292675102868642,1.4949169761861207,0.38242984924479134,0.5649311240914443,-0.9161782560764197
370,Grouped,-0.7822456854496266,0.17704513164136246,-1.022963520652723,0.7398438173476624,0.06381922016390823,0.20356044400247417,0.32791918620436916,1.6389459950009349
1617,Mated,0.9733359994511187,0.37580094628023414,1.9298018176304965,-0.35564237595296455,0.32287628117002976,0.8637863643008675,0.9775037245572443,-0.25517113888229165
17,Males_Grouped_and_Female,-1.6567371989379844,1.5345653173747205,-1.715017400798594,1.1862421229087707,-0.5755674059815431,1.422459918457045,1.3536107800438468,1.435668628072596
114,Males_Grouped_and_Female,-0.003455847022387855,-0.7959574225354455,1.3636259650941185,0.5697912343271556,-0.6682271062784577,-0.9429194739887962,-0.8324234285346194,-0.24451079991136423
1041,Grouped,-0.2855073311079365,-0.6903572901367243,0.6656402397383464,0.23811398071165632,-0.588947558885279,-0.7406822713671628,-0.7146537981926921,-0.2865937932912015
216,Grouped,-1.40819404978144,0.10471766154840843,-1.1453739313870785,0.9866798288749061,-0.7223989355541931,-0.8190363866869994,-0.9161715621429867,1.9960751601764133
